,num,name,sr,hr,lr,bic
955,955,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0233,0,0,0,0
956,956,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0833,155247,155457,9751,155960
957,957,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0354,139228,139514,8743,140050
958,958,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0750,183404,183784,11540,185038
959,959,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0080,179669,180852,11426,183573
960,960,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0728,5110,5293,268,4030
961,961,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0779,115013,116571,7369,118049
962,962,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0403,22312,22522,1310,20277
963,963,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0575,15005,15132,862,13381
964,964,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0903,107645,107899,6828,109431
965,965,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0212,161482,161969,10124,162069
966,966,715013_1166017_2017-08-27_1032_BGRN_Analytic_s0086,215755,216147,13584,217859
967,967,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0391,177353,178559,11248,180438
968,968,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0389,58350,57486,3523,56147
969,969,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0128,0,0,0,0
970,970,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0466,162247,162073,10137,162305
971,971,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0421,151093,151021,9435,151147
972,972,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0466,0,0,0,0
973,973,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0677,114681,114985,7206,115551
974,974,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0709,122388,124641,7820,125611
975,975,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0233,122914,123547,7700,123496
976,976,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0552,0,0,0,0
977,977,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0462,141067,141623,8872,142010
978,978,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0704,4038,4081,245,3788
979,979,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0337,9717,10400,529,8400
980,980,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0614,6457,6516,402,6419
981,981,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0403,0,0,0,0
982,982,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0791,164197,166201,10588,170404
983,983,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0141,162038,162089,10142,162227
984,984,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0343,144527,146873,9216,147997
985,985,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0130,189774,189569,11855,189577
986,986,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0059,125536,126745,7906,127012
987,987,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0429,197358,198362,12460,199942
988,988,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0793,43521,43572,2731,43745
989,989,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0987,113092,114129,7180,115118
990,990,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0586,0,0,0,0
991,991,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0483,129875,130121,8196,131082
992,992,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0509,0,0,0,0
993,993,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0738,154814,155345,9763,156426
994,994,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0711,157349,159005,9931,158932
995,995,693353_1066622_2017-08-17_1032_BGRN_Analytic_s0071,187362,190028,12105,195072
996,996,660535_1066622_2017-08-01_1041_BGRN_Analytic_s1004,173955,175174,11154,179655
997,997,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0136,73354,73388,4579,73639
998,998,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0414,134206,134585,8446,135150
999,999,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0167,168506,169609,10655,170418
